Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-07,Most Anticipated of 2026,,https://boxd.it/PXSZq,

Position,Name,Year,URL,Description
1,The Odyssey,2026,https://boxd.it/QFQU,
2,Werwulf,2026,https://boxd.it/SC72,
3,The Social Reckoning,2026,https://boxd.it/MRPQ,
4,Dune: Part Three,2026,https://boxd.it/ImWe,
5,Remain,2027,https://boxd.it/SKze,
6,Wildwood,2026,https://boxd.it/tLD2,
7,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,
8,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,
9,Wuthering Heights,2026,https://boxd.it/OdIa,
10,How to Make a Killing,2026,https://boxd.it/gLi8,
11,Clayface,2026,https://boxd.it/RTVm,
12,Disclosure Day,2026,https://boxd.it/MDJY,
13,Toy Story 5,2026,https://boxd.it/F06E,
14,Klara and the Sun,,https://boxd.it/woXa,
15,Forgotten Island,2026,https://boxd.it/Uitc,
16,The Bride!,2026,https://boxd.it/HSw6,
17,Mother Mary,2026,https://boxd.it/FILw,
18,Peaky Blinders: The Immortal Man,2026,https://boxd.it/x3yq,
19,I Want Your Sex,2026,https://boxd.it/N8by,
20,Backrooms,2026,https://boxd.it/EY6W,
21,Send Help,2026,https://boxd.it/JuhA,
22,Hoppers,2026,https://boxd.it/OFpg,
23,The Hunger Games: Sunrise on the Reaping,2026,https://boxd.it/NCIM,
24,The Drama,2026,https://boxd.it/OA2w,
25,Supergirl,2026,https://boxd.it/ESyU,
26,Untitled Jordan Peele Film,,https://boxd.it/FHH4,
27,The Moment,2026,https://boxd.it/SCkg,
28,Narnia,2026,https://boxd.it/HoaE,
29,Digger,2026,https://boxd.it/LwDC,
30,Masters of the Universe,2026,https://boxd.it/gdKW,
31,Wicker,2026,https://boxd.it/JlTq,
32,Heel,2025,https://boxd.it/R9M4,
33,Zi,2026,https://boxd.it/Zscq,
34,Project Hail Mary,2026,https://boxd.it/pEeQ,
35,The Invite,2026,https://boxd.it/zRNY,
36,Once Upon a Time in Harlem,2026,https://boxd.it/ZsJa,
37,The Weight,2026,https://boxd.it/T2Wq,
38,Barbara Forever,2026,https://boxd.it/ZsPW,
39,Frank & Louis,2026,https://boxd.it/ZsYa,
40,The Friend's House is Here,2026,https://boxd.it/ZsYu,
41,Bedford Park,2026,https://boxd.it/Uwj6,
42,If I Go Will They Miss Me,2026,https://boxd.it/ZsF8,
43,Public Access,2026,https://boxd.it/Yxnm,
44,Josephine,2026,https://boxd.it/NzPA,
45,Carousel,2026,https://boxd.it/Y61o,
46,The Gallerist,2026,https://boxd.it/R6Xe,
47,The Shitheads,2026,https://boxd.it/fR9u,
48,Chasing Summer,2026,https://boxd.it/YAQG,
49,"Mum, I'm Alien Pregnant",2026,https://boxd.it/Zt9i,
50,Filipiñana,2026,https://boxd.it/WTr2,
51,Silenced,2026,https://boxd.it/ZsUM,
52,Gail Daughtry and the Celebrity Sex Pass,2026,https://boxd.it/UMPC,
53,undertone,2025,https://boxd.it/UXeM,
54,Buddy,2026,https://boxd.it/Wjhq,
55,Jaripeo,2026,https://boxd.it/Vd2s,
56,Shame and Money,2026,https://boxd.it/XTKA,
57,See You When I See You,2026,https://boxd.it/R7Ly,
58,American Pachuco: The Legend of Luis Valdez,2026,https://boxd.it/ZsXc,
59,How to Divorce During the War,2026,https://boxd.it/WV9k,
60,Tell Me Everything,2026,https://boxd.it/S0Zg,
61,Hotel Hotel Hotel Hotel,,https://boxd.it/WtYk,
