Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-22,A Prophet,2009,https://boxd.it/8zmgQP,5,,"Breath-taking masterpiece. Prison & crime genre. Begins with a naieve and possibly innocent teenage boy thrust into an incomprehensibly harsh system. Forced to do the most horrific things, he learns everything he doesn't want to be and everything he doesn't want out of life from firsthand experience. Eventually, he carves out his own kind of morality and humanity from the despicable framework he is given. He doesn't become a hero, but he becomes as good - in both efficacy and ethics - as he can conceive given the environment he is damned to.

Beautifully shot. Haunting scenes. Graphic violence. Essentially a meditation on how to participate and survive in an evil world when the only truly moral choice is to surrender and die.",,2025-01-21
2025-07-20,Superman,2025,https://boxd.it/aoj0hZ,5,,"Very obviously political. There's a stand-in for Elon Musk and a stand in for Netanyahu. As anti-establishment and anti-war as a Superman film could possibly be. Touches on illegal detention/renditions, killing of innocents in the war on Terror, torture, Palestine, techno-utopianism, large arms corps, and the Israel lobby.

It's also a cool Superman film with great action scenes and visuals. It subverts several expectations we have about the characters and writes him with more depth than usually expected.",,2025-07-19
2025-07-30,Bring Her Back,2025,https://boxd.it/awVks7,3.5,,"The title spoiled the entire movie. The body horror was effective. I feel like there was just something missing here, but can't put my finger on what it is. The performances were all great but it just seems that the movie left a lot of breadcrumbs which were never tied together.",,2025-07-29
2025-07-30,Mulholland Drive,2001,https://boxd.it/awVoqp,4,,"A pretty good movie but certainly not the best of the 21st century. Interesting motifs and visuals, but ultimately I don't think the messages in the undercurrent were conveyed in a particularly compelling fashion. To me, David Lynch is the noir Haruki Murakami of film.",,2025-07-29
2025-07-30,Poor Things,2023,https://boxd.it/awVqiR,5,,i love naked woman,,2025-07-29
2025-07-30,Pig,2021,https://boxd.it/awVrBb,4.5,,This film is on the cusp of greatness. Incredibly well done.,,2025-07-29
2025-07-30,The Nun's Story,1959,https://boxd.it/awVsGL,4.5,,The final shot is one of my favorites in film history.,,2025-07-29
2025-07-30,Nocturnal Animals,2016,https://boxd.it/awVw5p,3,,I literally cannot remember this film and almost rewatched it. It's that forgettable.,,2025-07-29
2025-07-30,Mystic River,2003,https://boxd.it/awVykr,2.5,,What an absolute mess of a film. Nonsensical plot. I can't believe so many big name actors are involved in this mess.,,2025-07-29
2025-07-30,28 Years Later,2025,https://boxd.it/awVA83,4.5,,If this movie was a bit more focused and had a bit less extraneous editing and scenes it could be a 5. There are some truly moving and compelling scenes. Then there are some that are beyond credulity.,,2025-07-29
2025-07-30,Friendship,2024,https://boxd.it/awVDrx,3,Yes,Ari Aster social anxiety but trying to be funny,,2025-07-29
2025-07-30,Beau Is Afraid,2023,https://boxd.it/awVHjR,2.5,,"One of the most bizarre films I've ever seen. Full of so many good ideas executed so poorly. Intended to be a Freudian examination of the anxious mind told in some modern metaphor, almost like an epic of mental illness. But the vision was not honed enough. Ari Aster needs people to tell him no.",,2025-07-29
2025-07-31,The Phoenician Scheme,2025,https://boxd.it/axS9DL,5,,"Wes Anderson is at his best with grand sweeping tales that capitalize on his dead pan writing and humor. When Wes tries to do smaller scale stories that are more heartfelt, they aren't as impactful. This & Grand Budapest Hotel are my favorite Anderson films.",,2025-07-30
2025-07-31,Sinners,2025,https://boxd.it/axSaT1,4,,"Too many ideas, all of them interesting. Needed more focus.",,2025-07-30
2025-07-31,Karate Kid: Legends,2025,https://boxd.it/axSdrp,3.5,Yes,They had two scripts and just collaged them together I guess,,2025-07-30
2025-07-31,Black Bag,2025,https://boxd.it/axSfnf,2.5,,Tries so hard to be smart that it only succeeds in being irritating and forgettable,,2025-07-30
2025-07-31,Companion,2025,https://boxd.it/axSjj7,3.5,,This will probably happen in less than ten years,,2025-07-30
2025-07-31,Drop,2025,https://boxd.it/axSlHb,3.5,,The first half was so good. The second half was so dumb. The result is a mediocre film in aggregate that had the potential for greatness,,2025-07-30
2025-07-31,Trap,2024,https://boxd.it/axSo8t,4,,One of my favorite M. Night movies,,2025-07-30
2025-07-31,Don't Breathe,2016,https://boxd.it/ay652z,2.5,,It just gets more ridiculous,,2025-07-30
2025-07-31,Bodies Bodies Bodies,2022,https://boxd.it/ay65RH,3,,Basically a mediocre film with a nice twist,,2025-07-30
2025-08-14,The Woman in Black,2012,https://boxd.it/aJ7l0l,2.5,,If you make heaven canon in your horror film the horror is gone because all the characters have to do is die and they're good forever.,,2025-08-14
2025-08-14,Speak No Evil,2022,https://boxd.it/aJ7lIn,2,,Gratuitous torture porn intended to drive home the lesson of self assertiveness.,,2025-08-14
2025-08-16,Weapons,2025,https://boxd.it/aKgcBf,4,,One of the strangest movies you can watch. An unpredictable horror black comedy.,,2025-08-15
2025-08-17,Good Will Hunting,1997,https://boxd.it/aKMkQr,2.5,,One of the most over rated films ever,,2025-08-16
2025-08-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/aMjZIN,3,,Perhaps the worst Tarantino film. Boring.,,2025-08-18
2025-08-19,The Hateful Eight,2015,https://boxd.it/aMk1aN,3,,How do we get Tarantino to go back to making interesting movies?,,2025-08-18
2025-08-21,Jack and Jill,2011,https://boxd.it/aOh1pl,1,,I'm sure this movie is some kind of insurance fraud scheme to make a movie so terrible that it bombs & Sandler capitalizes on the failure. He admits as much IN the movie in a very meta scene.,,2025-08-21
2025-08-22,I Saw the TV Glow,2024,https://boxd.it/aOxthL,5,,"The horror of being too weak to live up to your potential, the terror of living an unfulfilled life when fulfillment was accessible, the nightmare of the safe existence over the true dangerous one. Most stories are about heroes that defy the odds to actualize themselves and seize their destiny. This is about all the people who eschew the heroic path and betray themselves - for nothing.",,2025-08-21
2025-08-22,Parasite,2019,https://boxd.it/aOxw7J,5,,A masterpiece. A subtle yet darkly hilarious meditation on class & capitalism.,,2025-08-21
2025-08-22,Portrait of a Lady on Fire,2019,https://boxd.it/aOxCcb,3,,The plot is that they're gay. The end,,2025-08-21
2025-08-22,Dune: Part Two,2024,https://boxd.it/aOxDfl,3.5,,This should have been better,,2025-08-21
2025-08-24,Iron Man,2008,https://boxd.it/aPLtJn,2.5,,Back when it was still vogue to include every possible stereotype about Arabs & Muslims,,2025-08-23
2025-08-24,Joker,2019,https://boxd.it/aPMc6b,5,,"People don't like this movie because they don't like the heteronormative white male rage it accurately depicts and the power fantasy that Fleck cum Joker represents. Snyder himself massively overcorrected by making Fleck the victim of every kind of emasculating crime imaginable in the sequel and having him repent for his crimes.

This movie essentially accurately depicts a kind of radicalization. Fleck was radicalized to burn society down because he was left out of it, essentially. He does not start the movie as a nihilist. He starts out as an average person, self centered but not malicious. Due to his generally good hearted nature and lack of opportunities, life showed him that actually the people who were more successful than him were crueler.

Arthur found out that there are no real world brownie points for goodness or hard work. He was left with the choice to either accept his caste in life or totally reject the system, and he chose to reject it.

Much of this same ethos underpinned the alt-right movement.",,2025-08-23
2025-08-24,Weapons,2025,https://boxd.it/aPMytB,4,Yes,"The set-up was really strong but I felt the film meandered a bit in the middle. The cop & druggie plotlines provided some comedic relief but didn't add much to the story.

The third act was good although I think didn't live up to the promise of the premise. Amy Madigan did such an incredible job and I only wish we had more of her.

While I can appreciate David Lynch and the Lynchian direction, it isn't my favorite style. The director here mentioned that he's massively influenced by Lynch and we see that with some of the unintentional or random choices. I think what made David Lynch great is that, as random as some of his decisions were, there was usually some kind of a justification for it (although not always).

I'm excited to see what this director does next.",,2025-08-23
2025-08-28,A Prophet,2009,https://boxd.it/aSRpr9,5,Yes,An absolute materpiece of a prison film with some of the most intense scenes I've ever seen,,2025-08-27
2025-08-28,Nomadland,2020,https://boxd.it/aT1yn1,1.5,,"One of those unbearably boring ""slow burn"" films with absolutely nothing to say and nothing to give",,2025-08-27
