Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-26,Nope,2022,https://boxd.it/dj5pJl,2.5,,,2025-01-01
2026-02-26,A Prophet,2009,https://boxd.it/dj5k69,5,,,2025-01-21
2025-05-31,Karate Kid: Legends,2025,https://boxd.it/9Ra7O7,3.5,,,2025-05-30
2025-06-17,Friendship,2024,https://boxd.it/a1Sduv,3,,,2025-06-16
2026-02-26,Superman,2025,https://boxd.it/dj5k6t,5,,,2025-07-19
2026-02-26,Bring Her Back,2025,https://boxd.it/dj5k6D,3.5,,,2025-07-29
2026-02-26,Mulholland Drive,2001,https://boxd.it/dj5k6N,4,,,2025-07-29
2026-02-26,Poor Things,2023,https://boxd.it/dj5k77,5,,,2025-07-29
2026-02-26,Pig,2021,https://boxd.it/dj5k7h,4.5,,,2025-07-29
2026-02-26,The Nun's Story,1959,https://boxd.it/dj5k7r,4.5,,,2025-07-29
2026-02-26,Nocturnal Animals,2016,https://boxd.it/dj5k7B,3,,,2025-07-29
2026-02-26,Mystic River,2003,https://boxd.it/dj5k7L,2.5,,,2025-07-29
2026-02-26,28 Years Later,2025,https://boxd.it/dj5k7V,4.5,,,2025-07-29
2026-02-26,Friendship,2024,https://boxd.it/dj5k8f,3,Yes,,2025-07-29
2026-02-26,Beau Is Afraid,2023,https://boxd.it/dj5k8z,2.5,,,2025-07-29
2026-02-26,The Phoenician Scheme,2025,https://boxd.it/dj5k8T,5,,,2025-07-30
2026-02-26,Sinners,2025,https://boxd.it/dj5k93,4,,,2025-07-30
2026-02-26,Karate Kid: Legends,2025,https://boxd.it/dj5k9x,3.5,Yes,,2025-07-30
2026-02-26,Black Bag,2025,https://boxd.it/dj5k9H,2.5,,,2025-07-30
2026-02-26,Companion,2025,https://boxd.it/dj5ka1,3.5,,,2025-07-30
2026-02-26,Drop,2025,https://boxd.it/dj5kal,3.5,,,2025-07-30
2026-02-26,Trap,2024,https://boxd.it/dj5kav,4,,,2025-07-30
2026-02-26,Don't Breathe,2016,https://boxd.it/dj5kaP,2.5,,,2025-07-30
2026-02-26,Bodies Bodies Bodies,2022,https://boxd.it/dj5kaZ,3,,,2025-07-30
2026-02-26,The Woman in Black,2012,https://boxd.it/dj5kbj,2.5,,,2025-08-14
2026-02-26,Speak No Evil,2022,https://boxd.it/dj5kbt,2,,,2025-08-14
2026-02-26,Weapons,2025,https://boxd.it/dj5kbN,4,,,2025-08-15
2026-02-26,Good Will Hunting,1997,https://boxd.it/dj5kch,2.5,,,2025-08-16
2026-02-26,Once Upon a Time... in Hollywood,2019,https://boxd.it/dj5kdT,3,,,2025-08-18
2026-02-26,The Hateful Eight,2015,https://boxd.it/dj5ke3,3,,,2025-08-18
2026-02-26,Jack and Jill,2011,https://boxd.it/dj5ked,1,,,2025-08-21
2026-02-26,I Saw the TV Glow,2024,https://boxd.it/dj5ken,5,,,2025-08-21
2026-02-26,Parasite,2019,https://boxd.it/dj5kex,5,,,2025-08-21
2026-02-26,Portrait of a Lady on Fire,2019,https://boxd.it/dj5keH,3,,,2025-08-21
