Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-29,Options for Mama,,https://boxd.it/R3W4u,

Position,Name,Year,URL,Description
1,A Taxi Driver,2017,https://boxd.it/fwac,
2,Heat,1995,https://boxd.it/2bg8,
3,Shoplifters,2018,https://boxd.it/ifY6,
4,Watchmen,2009,https://boxd.it/1QE4,
5,Oppenheimer,2023,https://boxd.it/wUow,
6,Mother,2009,https://boxd.it/1m9g,
7,"Like Father, Like Son",2013,https://boxd.it/5rQs,
8,Stand by Me,1986,https://boxd.it/2aOe,
9,Dogville,2003,https://boxd.it/2a8W,
10,Capernaum,2018,https://boxd.it/iM3s,
11,Little Miss Sunshine,2006,https://boxd.it/29EW,
12,Forrest Gump,1994,https://boxd.it/728,
13,Back to the Future Part II,1989,https://boxd.it/2aYI,
14,Back to the Future Part III,1990,https://boxd.it/2aTS,
15,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
16,Tokyo Sonata,2008,https://boxd.it/1ZxQ,
17,Star Wars,1977,https://boxd.it/72s,
18,Mustang,2015,https://boxd.it/baaw,
19,I'm Still Here,2024,https://boxd.it/BPEO,
20,Oldboy,2003,https://boxd.it/29R2,
21,The Empire Strikes Back,1980,https://boxd.it/27Vw,
22,Lady Vengeance,2005,https://boxd.it/248G,
23,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
24,Reservoir Dogs,1992,https://boxd.it/2agc,
25,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
26,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
27,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
28,Wild Tales,2014,https://boxd.it/7UmK,
29,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
30,Scarface,1983,https://boxd.it/2b7g,
31,Souleymane's Story,2024,https://boxd.it/HQVy,
32,What We Do in the Shadows,2014,https://boxd.it/7eQy,
33,Malcolm X,1992,https://boxd.it/27WE,
34,Petite Maman,2021,https://boxd.it/s6je,
35,Blade Runner,1982,https://boxd.it/2bcA,
36,The Florida Project,2017,https://boxd.it/dMG0,
37,Minari,2020,https://boxd.it/mL9M,
38,Blindspotting,2018,https://boxd.it/hDMw,
39,Return of the Jedi,1983,https://boxd.it/27Vm,
40,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,
41,Thief,1981,https://boxd.it/1TEc,
42,Gone Girl,2014,https://boxd.it/6hQu,
43,Caché,2005,https://boxd.it/2amY,
44,The Wild Pear Tree,2018,https://boxd.it/eMtM,
45,Midnight Mass,2021,https://boxd.it/wvVA,
46,Castaway on the Moon,2009,https://boxd.it/1GXU,
47,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
48,Boyz n the Hood,1991,https://boxd.it/29Ug,
49,Infernal Affairs,2002,https://boxd.it/1Vqw,
50,First Reformed,2017,https://boxd.it/go9C,
51,Sore: A Wife from the Future,2025,https://boxd.it/RjY0,
52,The Vanishing,1988,https://boxd.it/1ZTW,
53,The Promised Land,2023,https://boxd.it/B1hA,
54,Marty Supreme,2025,https://boxd.it/Off0,
55,The Voice of Hind Rajab,2025,https://boxd.it/UXdO,
56,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
57,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
58,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
59,Slumdog Millionaire,2008,https://boxd.it/1S3E,
60,The Karate Kid,1984,https://boxd.it/27Wk,
61,Rambo,2008,https://boxd.it/20Pc,
62,Gangs of New York,2002,https://boxd.it/25FG,
63,A Fistful of Dollars,1964,https://boxd.it/2auo,
64,For a Few Dollars More,1965,https://boxd.it/29eu,
65,A Few Good Men,1992,https://boxd.it/29nw,
