Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-31,Top 10 Films of 2022,,https://boxd.it/MIPCm,

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
3,All Quiet on the Western Front,2022,https://boxd.it/H08,
4,The Northman,2022,https://boxd.it/nK2s,
5,The Batman,2022,https://boxd.it/eDGs,
6,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,
7,Hundreds of Beavers,2022,https://boxd.it/CyUM,
8,Glass Onion,2022,https://boxd.it/oCkK,
9,Barbarian,2022,https://boxd.it/yohi,
10,RRR,2022,https://boxd.it/ljDs,
