Date,Name,Year,Letterboxd URI,Rating
2025-01-02,Nosferatu,2024,https://boxd.it/f5eG,4
2025-01-02,Wicked,2024,https://boxd.it/e8ME,1.5
2025-01-02,Juror #2,2024,https://boxd.it/FRwU,3.5
2025-01-02,Gladiator II,2024,https://boxd.it/kqQQ,3
2025-01-02,Conclave,2024,https://boxd.it/AO8q,2.5
2025-01-02,Heretic,2024,https://boxd.it/H1lY,3
2025-01-02,Dìdi (弟弟),2024,https://boxd.it/HQOW,3
2025-01-02,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3
2025-01-02,Longlegs,2024,https://boxd.it/KzLM,3
2025-01-02,Rebel Ridge,2024,https://boxd.it/nZum,3
2025-01-02,Caddo Lake,2024,https://boxd.it/wDSu,4.5
2025-01-02,The First Omen,2024,https://boxd.it/fx08,3
2025-01-02,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2025-01-02,GoodFellas,1990,https://boxd.it/29FA,5
2025-01-02,Back to the Future,1985,https://boxd.it/2b8e,5
2025-01-02,Spirited Away,2001,https://boxd.it/2b4m,5
2025-01-02,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2025-01-02,Good Will Hunting,1997,https://boxd.it/2ahY,2.5
2025-01-02,City of God,2002,https://boxd.it/2a2a,5
2025-01-02,Titanic,1997,https://boxd.it/2a2k,3
2025-01-02,Finding Nemo,2003,https://boxd.it/72i,5
2025-01-02,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2025-01-02,It's a Wonderful Life,1946,https://boxd.it/28xA,3
2025-01-02,Pulp Fiction,1994,https://boxd.it/29Pq,5
2025-01-02,The Godfather Part II,1974,https://boxd.it/2aNq,5
2025-01-02,The Matrix,1999,https://boxd.it/2a1m,5
2025-01-02,The Godfather,1972,https://boxd.it/2aNK,5
2025-01-02,Toy Story,1995,https://boxd.it/29qA,5
2025-01-02,Up,2009,https://boxd.it/1OEc,5
2025-01-02,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2025-01-02,The Sandlot,1993,https://boxd.it/1TDy,4.5
2025-01-02,Stand by Me,1986,https://boxd.it/2aOe,5
2025-01-02,Groundhog Day,1993,https://boxd.it/2b3e,4
2025-01-02,Interstellar,2014,https://boxd.it/4VZ8,3.5
2025-01-02,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2025-01-02,Cast Away,2000,https://boxd.it/20i8,3
2025-01-02,Once Upon a Time in the West,1968,https://boxd.it/2az4,4.5
2025-01-02,Blade Runner,1982,https://boxd.it/2bcA,5
2025-01-02,Princess Mononoke,1997,https://boxd.it/2b4w,5
2025-01-02,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2025-01-02,The Notebook,2004,https://boxd.it/1UNE,3
2025-01-02,Prisoners,2013,https://boxd.it/4E5i,3.5
2025-01-02,The Avengers,2012,https://boxd.it/1xFW,1
2025-01-02,Scarface,1983,https://boxd.it/2b7g,5
2025-01-02,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2025-01-02,Forrest Gump,1994,https://boxd.it/728,5
2025-01-02,Parasite,2019,https://boxd.it/hTha,5
2025-01-02,Django Unchained,2012,https://boxd.it/2cCk,4.5
2025-01-02,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2025-01-02,Saving Private Ryan,1998,https://boxd.it/29ro,3
2025-01-02,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2025-01-02,The Breakfast Club,1985,https://boxd.it/27q4,4
2025-01-02,The Social Network,2010,https://boxd.it/17ue,4
2025-01-02,The Iron Giant,1999,https://boxd.it/1Wow,5
2025-01-02,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,5
2025-01-02,The Sixth Sense,1999,https://boxd.it/29Js,5
2025-01-02,The Fifth Element,1997,https://boxd.it/71k,5
2025-01-02,Gladiator,2000,https://boxd.it/2b9m,4
2025-01-02,Rush Hour,1998,https://boxd.it/27pU,4
2025-01-02,Training Day,2001,https://boxd.it/27A4,4
2025-01-02,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2025-01-02,Shutter Island,2010,https://boxd.it/1U82,5
2025-01-02,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2025-01-02,Inception,2010,https://boxd.it/1skk,5
2025-01-02,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,5
2025-01-02,Friday,1995,https://boxd.it/1VLO,3.5
2025-01-02,Superbad,2007,https://boxd.it/20hO,3.5
2025-01-02,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2025-01-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2025-01-02,Drive,2011,https://boxd.it/IG,3
2025-01-02,Aladdin,1992,https://boxd.it/29yE,4.5
2025-01-02,Rain Man,1988,https://boxd.it/2avw,4.5
2025-01-02,Goldfinger,1964,https://boxd.it/29SY,4
2025-01-02,WALL·E,2008,https://boxd.it/1VEo,5
2025-01-02,Oldboy,2003,https://boxd.it/29R2,4
2025-01-02,Edward Scissorhands,1990,https://boxd.it/2aZc,5
2025-01-02,Jaws,1975,https://boxd.it/2a5e,3
2025-01-02,Howl's Moving Castle,2004,https://boxd.it/23De,5
2025-01-02,The Revenant,2015,https://boxd.it/8H5e,4
2025-01-02,Hocus Pocus,1993,https://boxd.it/1Wgi,4
2025-01-02,Get Out,2017,https://boxd.it/eOCm,5
2025-01-02,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2025-01-02,Hereditary,2018,https://boxd.it/hNVe,5
2025-01-02,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,4
2025-01-02,The Banshees of Inisherin,2022,https://boxd.it/p7XS,2.5
2025-01-02,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,5
2025-01-02,No Country for Old Men,2007,https://boxd.it/21ew,4
2025-01-02,Gone Girl,2014,https://boxd.it/6hQu,5
2025-01-02,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2025-01-02,The Parent Trap,1998,https://boxd.it/1XJq,3
2025-01-02,Donnie Darko,2001,https://boxd.it/2b2A,5
2025-01-02,The Green Mile,1999,https://boxd.it/2agG,4
2025-01-02,Ex Machina,2015,https://boxd.it/7T2k,4
2025-01-02,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2025-01-02,Holes,2003,https://boxd.it/20mE,4
2025-01-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2025-01-02,The Prestige,2006,https://boxd.it/293w,5
2025-01-02,Gremlins,1984,https://boxd.it/29gg,4.5
2025-01-02,Argo,2012,https://boxd.it/2czU,4
2025-01-02,Cinderella,1950,https://boxd.it/1Uki,4
2025-01-02,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,5
2025-01-02,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,4.5
2025-01-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2025-01-02,A Christmas Story,1983,https://boxd.it/29sw,4.5
2025-01-02,Mary Poppins,1964,https://boxd.it/2aoA,4
2025-01-02,Pan's Labyrinth,2006,https://boxd.it/28No,3
2025-01-02,Alice in Wonderland,1951,https://boxd.it/1Sz6,4.5
2025-01-02,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2025-01-02,How the Grinch Stole Christmas!,1966,https://boxd.it/1Qj6,4
2025-01-02,The Sound of Music,1965,https://boxd.it/1MLK,4
2025-01-02,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4.5
2025-01-02,Full Metal Jacket,1987,https://boxd.it/2a1Q,5
2025-01-02,The Lighthouse,2019,https://boxd.it/icFU,3.5
2025-01-02,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2025-01-02,Beetlejuice,1988,https://boxd.it/24QI,5
2025-01-02,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2025-01-02,Nightcrawler,2014,https://boxd.it/780m,5
2025-01-02,Malcolm X,1992,https://boxd.it/27WE,5
2025-01-02,A Beautiful Mind,2001,https://boxd.it/2amk,4
2025-01-02,Casino,1995,https://boxd.it/2ads,4.5
2025-01-02,Apollo 13,1995,https://boxd.it/2a6G,4
2025-01-02,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,5
2025-01-02,Napoleon Dynamite,2004,https://boxd.it/20wu,4.5
2025-01-02,Ghostbusters,1984,https://boxd.it/g2w,5
2025-01-02,Boyz n the Hood,1991,https://boxd.it/29Ug,5
2025-01-02,Ponyo,2008,https://boxd.it/1S0A,4
2025-01-02,The Incredibles,2004,https://boxd.it/1XLm,4.5
2025-01-02,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,4
2025-01-02,Menace II Society,1993,https://boxd.it/1Yuc,4.5
2025-01-02,Gattaca,1997,https://boxd.it/29Du,4
2025-01-02,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2025-01-02,Erin Brockovich,2000,https://boxd.it/2al2,2.5
2025-01-02,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2025-01-02,Paprika,2006,https://boxd.it/23wW,4
2025-01-02,The Karate Kid,1984,https://boxd.it/27Wk,5
2025-01-02,Midsommar,2019,https://boxd.it/jhxe,4
2025-01-02,Jumanji,1995,https://boxd.it/1ZLI,5
2025-01-02,Twelve Monkeys,1995,https://boxd.it/2beQ,4
2025-01-02,The Color Purple,1985,https://boxd.it/29oO,5
2025-01-02,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,5
2025-01-02,Enter the Dragon,1973,https://boxd.it/1YCA,5
2025-01-02,Young Frankenstein,1974,https://boxd.it/25To,5
2025-01-02,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3.5
2025-01-02,Matilda,1996,https://boxd.it/1VhY,4.5
2025-01-02,Sicario,2015,https://boxd.it/8i7u,3
2025-01-02,Dune,2021,https://boxd.it/fA7G,3
2025-01-02,Zodiac,2007,https://boxd.it/27MO,4.5
2025-01-02,Elf,2003,https://boxd.it/1VyK,4
2025-01-02,Juno,2007,https://boxd.it/210a,3
2025-01-02,Carlito's Way,1993,https://boxd.it/226e,4
2025-01-02,Decision to Leave,2022,https://boxd.it/qp9e,3.5
2025-01-02,Million Dollar Baby,2004,https://boxd.it/2bdI,3
2025-01-02,First Blood,1982,https://boxd.it/28U0,5
2025-01-02,Donnie Brasco,1997,https://boxd.it/1YRA,3
2025-01-02,Lilo & Stitch,2002,https://boxd.it/1TAY,4
2025-01-02,Drive My Car,2021,https://boxd.it/sv94,1
2025-01-02,Knives Out,2019,https://boxd.it/jWEA,5
2025-01-02,American Psycho,2000,https://boxd.it/28Vs,3
2025-01-02,Slumdog Millionaire,2008,https://boxd.it/1S3E,5
2025-01-02,Ocean's Eleven,2001,https://boxd.it/2aZm,4.5
2025-01-02,Arrival,2016,https://boxd.it/aNGk,4
2025-01-02,Blood Diamond,2006,https://boxd.it/28Tm,4.5
2025-01-02,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,1
2025-01-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
