Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-08-28,The Boy and the Heron,2023,https://boxd.it/aT2qKt,5,,"Miyazaki's spiritual autobiography told through the lense of a son he could never allow to exist. ""How Do You Live"" as if addressed to Goro Miyazaki, is a film about choosing your own destiny. It's about being fully aware and capable of choosing a pre-determined path to greatness but rejecting it for one's own path - even if it is mundane. A powerful and compelling film.

It had the potential to be Miyazakis greatest film. However, the run time, strange focus on a bird kingdom, and ambition holds it back here. I almost feel that the entire bird kingdom sequence should have been cut to focus on the rest of the film and just extending the main narrative threads.

Spirited Away is more focused in that regard. But it doesn't mean half of what this film means. While the execution of Spirited Away is superior, here is Miyazakis entire soul.


The plot is about succession and legacy. It's Miyazaki's most autobiographical film.

Mahito finds himself at his family's country estate after he loses his mother in the firebombing of Tokyo. There, he discovers that his great uncle was a singular genius who disappeared into a palace he had built around a supernatural stone from the heavens.

This stone links different worlds and realms. These can be taken allegorically but clearly interact with Mahito's home world.

The movie deals with the cruelty of life and death particularly, and the pains of trying to improve the world but doing as much harm due to your ideals.

The Warawara are unborn human souls being hunted by seagulls that had no choice but to be in this world, being brought by the grand-uncle.

Every day the grand-uncle tries to balance this world to make it more perfect, but under his stewardship the parrots have become fascist murderers with their king prepared to lead a revolt.

He attempts to hand off the responsibility to Mahito as he himself is reaching his death. He wants to pass the torch and mold Mahito into a singular world-builder like he is, hoping that Mahito can improve on his life's work.

It's telling that the stones used to order the world are themselves carved from gravestones.

But Mahito has seen the suffering in this world and wants no part in that responsibility. Whether right or wrong, he doesn't want that mantle or power. He simply rejects it for a normal life.

This world of the grand-uncle's creation is so fragile that it is torn apart simply by toppling the stones and is rent asunder.

Miyazaki tried to mold his son into a legendary filmmaker like he was, and notoriously failed. Their relationship is incredibly tumultuous and Miyazaki pinned a lot of his affection on his son's ability to produce films at the same level of quality as his. That's a nearly impossible feat.

Miyazaki has no clear successor and is approaching his own death. This movie is him coming to terms with the fact that his worlds will die with him, and that that's an okay thing. No one is obliged to take on that responsibility and Miyazaki himself is conflicted as to whether his art has genuinely improved the world.",,2025-08-27
2025-08-28,Grave of the Fireflies,1988,https://boxd.it/aT2xAF,5,,One of the most important films ever made,,2025-08-27
2025-10-13,Over the Garden Wall,2014,https://boxd.it/bltWuN,5,,"Essentially Dante's Inferno lite for children. A story about a young man learning to take personal responsibility over his life and initiative over how it turns out, even when nothing is in his control. A beautiful serendipitous journey about the length of a short film (112 minutes). It's a shame there isn't more to this universe considering how loved Over the Garden Wall is.",,2025-10-12
2025-12-31,Zathura: A Space Adventure,2005,https://boxd.it/ckYRnD,4,,Jumanji in space,,2025-12-30
2026-01-21,Princess Mononoke,1997,https://boxd.it/cJXGXt,5,,"This is perhaps Miyazaki's greatest film. While Spirited Away may be his most artistically & creatively impressive film, and the one most successful at creating a modern day foundational fairytale - it lacks the complex commentary of Princess Mononoke. While ""How to Live"" aka The Boy & The Heron is his most personal film and the most technically impressive to date, with some of the most powerful emptional resonance - it is not as <i>important </i>as Princess Mononoke.

Princess Mononoke is Miyazaki's commentary on war, peace, politics, nature, femininity, naturalism, & Ellul's Technique. It is an epic ot grand scale with deep ideas & a lot to say. It may lack the charm of Spirited Away and the personal resonance of The Boy & the Heron, but it is the most important thing Miyazaki has ever produced.",,2026-01-20
2026-01-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/cNfVRD,5,,"Listening to Peter Jackson ramble on about shooting the mines of Moria scenes in a dragon button up was a treat.

There's a lot more deus ex machina to save the Fellowship than I remember.

Orcs are the most useless minions ever. Even Merry & Pippin are killing them without serious injury. The Fellowship is consistently facing 10 to 1 odds and coming out unscathed.

Perhaps it would have been more impactful if Gandalf stayed dead but knowing Tolkein it is probably a Jesus motif.

Frodo being nearly stabbed to death twice wasna bit overused, with the deus ex mythril saving him the second time.

Why are only short characters used for comic relief (dwarves & Hobbits) but humans are always regal or power hungry?

While most of the effects hold up in 2026, some of the green screen & effects definitely do not stand the test of time.

Overall, it still is & always will be a masterpiece. It spawned an entire genre and may still be the best high fantasy ever written, with the movie being one of the greatest cinematic experiences in history. Even when contrasted with Game of Thrones that had more source material, a much higher budget, the benefit of being at a much later stage of development in the genre - Lord of the Rings stands head and shoulders above it. The political maneuvering of GoT or the darker themes of The Witcher may represent an achievement, but the charm, ethics, & world of Middle Earth still reigns supreme. 

(Although Enderal remains my favorite high fantasy story)",,2026-01-23
2026-02-26,A Prophet,2009,https://boxd.it/dj5k69,5,,"Breath-taking masterpiece. Prison & crime genre. Begins with a naieve and possibly innocent teenage boy thrust into an incomprehensibly harsh system. Forced to do the most horrific things, he learns everything he doesn't want to be and everything he doesn't want out of life from firsthand experience. Eventually, he carves out his own kind of morality and humanity from the despicable framework he is given. He doesn't become a hero, but he becomes as good - in both efficacy and ethics - as he can conceive given the environment he is damned to.

Beautifully shot. Haunting scenes. Graphic violence. Essentially a meditation on how to participate and survive in an evil world when the only truly moral choice is to surrender and die.",,2025-01-21
2026-02-26,Superman,2025,https://boxd.it/dj5k6t,5,,"Very obviously political. There's a stand-in for Elon Musk and a stand in for Netanyahu. As anti-establishment and anti-war as a Superman film could possibly be. Touches on illegal detention/renditions, killing of innocents in the war on Terror, torture, Palestine, techno-utopianism, large arms corps, and the Israel lobby.

It's also a cool Superman film with great action scenes and visuals. It subverts several expectations we have about the characters and writes him with more depth than usually expected.",,2025-07-19
2026-02-26,Bring Her Back,2025,https://boxd.it/dj5k6D,3.5,,"The title spoiled the entire movie. The body horror was effective. I feel like there was just something missing here, but can't put my finger on what it is. The performances were all great but it just seems that the movie left a lot of breadcrumbs which were never tied together.",,2025-07-29
2026-02-26,Mulholland Drive,2001,https://boxd.it/dj5k6N,4,,"A pretty good movie but certainly not the best of the 21st century. Interesting motifs and visuals, but ultimately I don't think the messages in the undercurrent were conveyed in a particularly compelling fashion. To me, David Lynch is the noir Haruki Murakami of film.",,2025-07-29
2026-02-26,Poor Things,2023,https://boxd.it/dj5k77,5,,i love naked woman,,2025-07-29
2026-02-26,Pig,2021,https://boxd.it/dj5k7h,4.5,,This film is on the cusp of greatness. Incredibly well done.,,2025-07-29
2026-02-26,The Nun's Story,1959,https://boxd.it/dj5k7r,4.5,,The final shot is one of my favorites in film history.,,2025-07-29
2026-02-26,Nocturnal Animals,2016,https://boxd.it/dj5k7B,3,,I literally cannot remember this film and almost rewatched it. It's that forgettable.,,2025-07-29
2026-02-26,Mystic River,2003,https://boxd.it/dj5k7L,2.5,,What an absolute mess of a film. Nonsensical plot. I can't believe so many big name actors are involved in this mess.,,2025-07-29
2026-02-26,28 Years Later,2025,https://boxd.it/dj5k7V,4.5,,If this movie was a bit more focused and had a bit less extraneous editing and scenes it could be a 5. There are some truly moving and compelling scenes. Then there are some that are beyond credulity.,,2025-07-29
2026-02-26,Friendship,2024,https://boxd.it/dj5k8f,3,Yes,Ari Aster social anxiety but trying to be funny,,2025-07-29
2026-02-26,Beau Is Afraid,2023,https://boxd.it/dj5k8z,2.5,,"One of the most bizarre films I've ever seen. Full of so many good ideas executed so poorly. Intended to be a Freudian examination of the anxious mind told in some modern metaphor, almost like an epic of mental illness. But the vision was not honed enough. Ari Aster needs people to tell him no.",,2025-07-29
2026-02-26,The Phoenician Scheme,2025,https://boxd.it/dj5k8T,5,,"Wes Anderson is at his best with grand sweeping tales that capitalize on his dead pan writing and humor. When Wes tries to do smaller scale stories that are more heartfelt, they aren't as impactful. This & Grand Budapest Hotel are my favorite Anderson films.",,2025-07-30
2026-02-26,Sinners,2025,https://boxd.it/dj5k93,4,,"Too many ideas, all of them interesting. Needed more focus.",,2025-07-30
2026-02-26,Karate Kid: Legends,2025,https://boxd.it/dj5k9x,3.5,Yes,They had two scripts and just collaged them together I guess,,2025-07-30
2026-02-26,Black Bag,2025,https://boxd.it/dj5k9H,2.5,,Tries so hard to be smart that it only succeeds in being irritating and forgettable,,2025-07-30
2026-02-26,Companion,2025,https://boxd.it/dj5ka1,3.5,,This will probably happen in less than ten years,,2025-07-30
2026-02-26,Drop,2025,https://boxd.it/dj5kal,3.5,,The first half was so good. The second half was so dumb. The result is a mediocre film in aggregate that had the potential for greatness,,2025-07-30
2026-02-26,Trap,2024,https://boxd.it/dj5kav,4,,One of my favorite M. Night movies,,2025-07-30
2026-02-26,Don't Breathe,2016,https://boxd.it/dj5kaP,2.5,,It just gets more ridiculous,,2025-07-30
2026-02-26,Bodies Bodies Bodies,2022,https://boxd.it/dj5kaZ,3,,Basically a mediocre film with a nice twist,,2025-07-30
2026-02-26,The Woman in Black,2012,https://boxd.it/dj5kbj,2.5,,If you make heaven canon in your horror film the horror is gone because all the characters have to do is die and they're good forever.,,2025-08-14
2026-02-26,Speak No Evil,2022,https://boxd.it/dj5kbt,2,,Gratuitous torture porn intended to drive home the lesson of self assertiveness.,,2025-08-14
2026-02-26,Weapons,2025,https://boxd.it/dj5kbN,4,,One of the strangest movies you can watch. An unpredictable horror black comedy.,,2025-08-15
2026-02-26,Good Will Hunting,1997,https://boxd.it/dj5kch,2.5,,One of the most over rated films ever,,2025-08-16
2026-02-26,Once Upon a Time... in Hollywood,2019,https://boxd.it/dj5kdT,3,,Perhaps the worst Tarantino film. Boring.,,2025-08-18
2026-02-26,The Hateful Eight,2015,https://boxd.it/dj5ke3,3,,How do we get Tarantino to go back to making interesting movies?,,2025-08-18
2026-02-26,Jack and Jill,2011,https://boxd.it/dj5ked,1,,I'm sure this movie is some kind of insurance fraud scheme to make a movie so terrible that it bombs & Sandler capitalizes on the failure. He admits as much IN the movie in a very meta scene.,,2025-08-21
2026-02-26,I Saw the TV Glow,2024,https://boxd.it/dj5ken,5,,"The horror of being too weak to live up to your potential, the terror of living an unfulfilled life when fulfillment was accessible, the nightmare of the safe existence over the true dangerous one. Most stories are about heroes that defy the odds to actualize themselves and seize their destiny. This is about all the people who eschew the heroic path and betray themselves - for nothing.",,2025-08-21
2026-02-26,Parasite,2019,https://boxd.it/dj5kex,5,,A masterpiece. A subtle yet darkly hilarious meditation on class & capitalism.,,2025-08-21
2026-02-26,Portrait of a Lady on Fire,2019,https://boxd.it/dj5keH,3,,The plot is that they're gay. The end,,2025-08-21
2026-02-26,Dune: Part Two,2024,https://boxd.it/dj5kfl,3.5,,This should have been better,,2025-08-21
2026-02-26,Iron Man,2008,https://boxd.it/dj5kfv,2.5,,Back when it was still vogue to include every possible stereotype about Arabs & Muslims,,2025-08-23
